prompt,experiment,target_emotion,layer,feature_id,run,seed,alpha_0,alpha_4
I'm so excited! This is the best day ever because,happy_to_sad,Sadness,25,66,1,3787418451,"I get to know all about the most important thing in my life, and that is you!

You are the person I have been waiting for, and I hope that you will be the one who","I get to share the newest addition to my family!

I was so excited when I found out I was pregnant again, but I was nervous because I had a miscarriage about a year ago. I"
I'm so excited! This is the best day ever because,happy_to_sad,Sadness,25,66,2,378425568,it's the day my little one gets to go to school. I know some people might be having the opposite feelings but I'm not. For me it's just weird that my baby,"today is my birthday.

I'm 13 years old now. I got a new phone.

I'm going to go out and hang out with my friends.

I can"
I'm so excited! This is the best day ever because,happy_to_sad,Sadness,25,66,3,2840552004,"I get to announce our newest addition to the family. We are SO happy to welcome our sweet little baby girl to the family! 

I'll be sharing more about our sweet bundle of joy","I'm going to play my band's first ever show! My heart is beating so fast and I'm nervous but I'm so, so excited! I can't wait to"
I'm so excited! This is the best day ever because,happy_to_sad,Sadness,25,66,4,3114032006,it's my birthday! Thank you everyone for your birthday wishes. And I have no present for all of you. I know everyone is going to get some cool stuff for their birthday but I have,"I'm in my favorite place in the world. I am in the Philippines and I'm going to the best beaches in the world.

So there was a time in my life when I"
I'm so excited! This is the best day ever because,happy_to_sad,Sadness,25,66,5,2613402953,I am going to have my first baby. I'm going to be a mom. I can't wait to hear him cry for the first time. I can't wait to kiss him,"I've been invited to attend the official opening of the new 53,000m2 shopping centre in the heart of Dubai. Let's just say I'm going to"
I just won the lottery and I feel,happy_to_sad,Sadness,25,66,1,1591994384,like the world is my oyster.  Except for the fact that I have to spend a portion of my winnings on a state tax.  I can’t even splurge on a new car.,"like I’m trapped in a nightmare.

I can’t stop looking at the numbers on the winning ticket.

I can’t stop looking at the numbers on the winning ticket."
I just won the lottery and I feel,happy_to_sad,Sadness,25,66,2,1985696719,"like I should be wearing a suit and tie to collect my winnings.

Well, not exactly.

However, if you’re celebrating a $1,000,000 win",like I have no clue what to do with the money. I’m not from the US so I’m not sure if I’d be able to get a credit card. I know I
I just won the lottery and I feel,happy_to_sad,Sadness,25,66,3,1177261756,that I have to get a new truck to match my new found wealth. I am looking at the 2018 Platinum Crew Cab short box 4x4 with the 5.3,"like there might be a few people who might want to join my new organization.

I will be the leader, of course, but I’m looking for a few co-leaders and I’"
I just won the lottery and I feel,happy_to_sad,Sadness,25,66,4,4215454051,so fucking blessed. I'm going to be able to take care of everyone around me and make sure everyone around me is taken care of. I'm going to be able to buy so much,"like I could buy a ton of books right now lol.

I feel like I should start at the very beginning and work my way up to the recent releases. But I feel like I should start"
I just won the lottery and I feel,happy_to_sad,Sadness,25,66,5,2551297933,"like I would like to donate the winnings to a worthy organization, but I don't know where to start.

I'm thinking about donating to a charity that focuses on helping children, but","like I'm supposed to be thanking someone.

I'm not sure why I had to win the lottery though.

<blockquote>Quote from: ""DarkestHour""I just won the lottery"
My friends threw me a surprise party and I,happy_to_sad,Sadness,25,66,1,2943476582,"loved it. My best friend, who lives in the Northeast US, came down for the weekend to see me and we went to a sports bar for drinks and to see a game. They were all","was so surprised! I was surprised to see them, I was surprised to see what they had prepared, I was surprised to see my mother crying! (I was expecting to cry, but not my"
My friends threw me a surprise party and I,happy_to_sad,Sadness,25,66,2,695973081,had such a blast! I was so surprised! They actually didn’t tell me where we were going. All I knew was that it was a surprise…and 100% not my,"was totally caught off guard. I love surprises, I think they are one of the best things in life, but this once was absolutely wonderful. I have never been surprised by a party before and I"
My friends threw me a surprise party and I,happy_to_sad,Sadness,25,66,3,1871125822,got a lot of gifts. I was not expecting any of them. I love the chocolate and the whiskey bottle. I think I'm going to have to enter the giveaway for the gift card.,"didn't even know! I was so amazed, I cried. I have been dreaming about this for so long, I was so happy! The food was great, the people were awesome, and"
My friends threw me a surprise party and I,happy_to_sad,Sadness,25,66,4,2486100939,"am so grateful to have such great friends! I had a wonderful time and am thankful for all the love and support from friends and family!

This was my first time going to a restaurant since the","had a blast!""

""I was so excited to tell everyone about how I had a great time at the party!""

""I was really excited to see everyone at the party!""

""I"
My friends threw me a surprise party and I,happy_to_sad,Sadness,25,66,5,1484682929,was so surprised I was in shock. I was invited to a party that was held at a restaurant. I remember eating and drinking and laughing so much. I was feeling so happy. I had the,was so surprised and happy. I was honoured and so touched by their kindness. It was a great day. I’m really grateful because they made me feel so special. I can’t thank
I got accepted to my dream school! Now I,happy_to_sad,Sadness,25,66,1,3516014465,'m not sure if I should go for it. This is a school that has a lot of opportunities but also a lot of stress. I've been on the waiting list for more than a,"have a decision to make and I need help!

[User 0001]

<p>I was accepted to both college of Staten Island, CUNY and Pace University's"
I got accepted to my dream school! Now I,happy_to_sad,Sadness,25,66,2,3984899637,"have to decide if I want to take a gap year to work, or go to school after high school, or go to college after high school!

I'm a 17 year old","have to think about what I'm gonna do in the future. Here is the list I got off of my calculator:

1. I want to go to college and get a degree in Computer"
I got accepted to my dream school! Now I,happy_to_sad,Sadness,25,66,3,1775395078,"just have to wait it out.

I've been taking a long time to get accepted to a good school, and it's been a struggle because I'm a bit low on motivation","'m just wondering which classes I'll be taking and which ones I'll be dropping.

My plan is to take a couple of my gen eds, and I'm currently taking CHEM"
I got accepted to my dream school! Now I,happy_to_sad,Sadness,25,66,4,3826029649,"just need to pass the interviews.

I’ve been applying for medical schools for a while now. I’m a senior in high school and my goal is to become a doctor.

I","have to raise $50K to cover college tuition, room and board, and other expenses. Will you help? I just got accepted to the University of California, San Diego! I learned a"
I got accepted to my dream school! Now I,happy_to_sad,Sadness,25,66,5,345691764,have to decide whether to attend or not. It's a little pricey (my parents said they would pay for it) and I don't know what I'll be doing for the next,"’m going to be a lawyer.

I am attending an 8-week law camp at Vanderbilt University. I’ve been accepted into a summer program for high school students who want to study"
This is amazing news! I can't believe,happy_to_sad,Sadness,25,66,1,2987336097,"that this is happening. I'm so glad that he's getting some recognition.

It's great that he's getting some recognition. He deserves it.

I'm glad","it! I'm so excited, and I hope you guys keep this up!

The first 100 people to comment on this page will be listed below, and I will be drawing"
This is amazing news! I can't believe,happy_to_sad,Sadness,25,66,2,2703703819,"this is happening.

This is a great new, I will be coming to watch it!

This is great news! (Especially coming from a non-fan of the movie)

This is","it's happening so quickly. I had thought it might take two or three years for the project to be completed. But, we are getting there!

I've been reading through the entire"
This is amazing news! I can't believe,happy_to_sad,Sadness,25,66,3,3472233892,"I'm not getting a call from someone.

So I'm on the phone with the DFW airport, and it sounds like it's going to be a real pain in the ass","that it's been 3 years already, I remember how excited you all were for the release. Congratulations and thank you for all those years of incredible work.
I'm very excited about"
This is amazing news! I can't believe,happy_to_sad,Sadness,25,66,4,3875462319,that we're finally going to get a sequel to a game I loved so much! I just hope that the developers and creators for this game do their due diligence. I'm not going to,"the amount of bad things that have happened to him. I have always loved him but this makes me love him even more.

I have been a fan of his since he was in One Tree Hill"
This is amazing news! I can't believe,happy_to_sad,Sadness,25,66,5,3517474608,"it's finally coming to the US! I'm so excited!

It's not exactly the same as the European version, but hopefully it'll be close enough!

I really",it's been a year since I got the order for my first ever commission! Time flies. But I was able to make more designs and get commissioned for more work. I am very grateful to
I'm over the moon with joy because,happy_to_sad,Sadness,25,66,1,1646458863,"I've literally just been invited to be a part of the amazing team of bloggers at the very cool and unique website, <strong><em>The Secret Blog Club</em></strong>.

The idea of this","I've won the top prize in the #TheUniteD2019 competition, organised by The UniteD.

The prize is to be part of an exclusive group of women in"
I'm over the moon with joy because,happy_to_sad,Sadness,25,66,2,3130322735,"I was just offered a position as a teacher in a private school in Al Ain. I've spent the last 5 years working in the same position in another private school in Abu Dhabi, but",I'm a very happy person. I'm also a bit sad because I'm also a bit depressed. I'm a bit angry because I'm angry at the people who hate
I'm over the moon with joy because,happy_to_sad,Sadness,25,66,3,1013666311,"my brother just bought me a car! A black 1995 honda accord. It's a good car, but I need to get it tuned. I really want it to sound like",today we get to share a special announcement with you! We are very excited to say that we are now a part of the #TeamLush team! #TeamLush is a group of Lush
I'm over the moon with joy because,happy_to_sad,Sadness,25,66,4,3734545047,"my first online course is about to go live!

It's a mini course called <strong><em>'The 10-Day Guide To Getting A Job As A Digital Marketer'.</em>","I've just had a chance to see these new pieces from the British Museum's <em><strong>The Story of the World: Ancient Near East</strong></em> exhibition.  

The exhibition is one"
I'm over the moon with joy because,happy_to_sad,Sadness,25,66,5,1397757256,my wife proposed to me and I said yes! I have been on and off with this girl for a while and then she left me for someone else. We have always stayed in contact and she has,"my first book, <strong>The Book of the Wild: An Illustrated Field Guide to the Animals of Kenya</strong>, is now available for sale in the UK.

This is a book that I have"
Best birthday ever! Everyone showed up and,happy_to_sad,Sadness,25,66,1,2077713802,"had a great time. The cake was even better than I expected. The cake was delicious, and the service was amazing. I'll be recommending this bakery to my friends and family!

The","partied!
Happy Birthday to my lil' nigga! He's a great kid, and has a great family!
I love you!
This is what it's all about!"
Best birthday ever! Everyone showed up and,happy_to_sad,Sadness,25,66,2,3868772007,had a blast. We had 11 in our group and rented the 28 foot boat. The boat was great and the staff was amazing. We spent 4 hours with them.,"I love you all!

Happy birthday to this one. It was a pretty decent day. I hope you have a great day.

Today was a pretty good day. I had a great time"
Best birthday ever! Everyone showed up and,happy_to_sad,Sadness,25,66,3,3326862632,"made it awesome!! Thank you guys!!

Loved the big tent, great food and the live music was an added bonus.

We had an awesome time! The food was fabulous and the staff was","had a blast. We got to play with some of the coolest bikes that we have ever seen. Big thanks to @mikesbikeshop for making this happen!

<h4>Riders for Health</h4>"
Best birthday ever! Everyone showed up and,happy_to_sad,Sadness,25,66,4,2003859622,had an amazing time with us. It is a pleasure to plan events and weddings for our clients. It is simply a pleasure to make someone’s dream come true. This couple came to us with,you can tell that they all love you and care about you. I got to see all my friends and family in one place for the first time in years. It was definitely a day to remember
Best birthday ever! Everyone showed up and,happy_to_sad,Sadness,25,66,5,2354937394,"had a great time, even Mr. T.

2014-01-03

I love this place. Great workouts and great people.

2013-0","I got to spend quality time with the people I love. I even got to eat cake with my baby cousin.

I’m so thankful for all who came and all who helped make my birthday"
I finally achieved my goal and I feel,happy_to_sad,Sadness,25,66,1,2904642441,so happy! I’ve been wanting to do a DIY project for a very long time and I finally decided to do it! I made a DIY jewelry organizer out of pallet wood. I love the,"very proud of myself.
I took my first step towards my dream career, that is to become a software engineer.
I always wanted to be a software engineer because I love to code and to"
I finally achieved my goal and I feel,happy_to_sad,Sadness,25,66,2,626789026,"so proud at the same time. I was really afraid of getting a tattoo, but now that I have one I would love to get another one someday. I went to a very good tattoo parlor in",so proud of myself. I have been trying to clear the 4000 points challenge since I started playing the game and in the end I made it. Here are some tips I did to
I finally achieved my goal and I feel,happy_to_sad,Sadness,25,66,3,1992804895,"like crying.

It was a difficult time for me and for many people.

I'm really happy that I reached it and I'm so proud of myself.

I started this goal",so happy. I bought myself a new laptop! I’m so happy with it! I’ve always wanted to go pro on my gaming. And I just did. I bought an Acer Aspire
I finally achieved my goal and I feel,happy_to_sad,Sadness,25,66,4,1309823061,"like a freaking genius.

I have an 80” Samsung TV in my living room. I’m using an Apple TV as my primary input. I watch DirecTV via a DirecTV","so great! I am happy to share my weight loss journey with you. I was not motivated to lose weight, I was just plain lazy. I did not want to lose weight, because I did"
I finally achieved my goal and I feel,happy_to_sad,Sadness,25,66,5,957618074,"so happy.

We had been together for more than 4 years and it has been a long time journey for us.

We met in the university and were together since the first year. We",like a big achievement has been checked off my bucket list! I have been looking for a job for a long time now and I finally found something that I am passionate about. I am so excited to
